Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
47,10,97,0.05,0.68,-0.2,1.482430411431922
506,16,106,0.05,0.66,-0.19,1.482247858524357
1980,36,80,0.05,0.59,-0.22,1.4821909185133688
369,14,119,0.06,0.66,-0.21,1.4819397078692864
125,11,100,0.05,0.67,-0.21,1.4819230360455222
121,11,96,0.05,0.68,-0.18,1.4816718776352085
76,11,51,0.05,0.65,-0.14,1.479330962889838
505,16,105,0.05,0.65,-0.19,1.4782516667242813
714,19,89,0.05,0.64,-0.21,1.4777417924854275
1979,36,79,0.05,0.58,-0.21,1.4766506418459473
1858,34,108,0.05,0.58,-0.26,1.476158787807537
183,12,83,0.05,0.66,-0.19,1.476040596891662
428,15,103,0.05,0.65,-0.21,1.4758313455290668
370,14,120,0.05,0.66,-0.21,1.4755065610214426
717,19,92,0.05,0.63,-0.21,1.474977156395505
249,13,74,0.05,0.65,-0.19,1.4741852610995647
1830,34,80,0.05,0.58,-0.24,1.473864596292093
433,15,108,0.05,0.65,-0.2,1.4737912672986975
196,12,96,0.05,0.66,-0.17,1.4736995731753324
178,12,78,0.05,0.65,-0.19,1.4735710679911056
177,12,77,0.05,0.65,-0.19,1.4735710679911056
371,14,121,0.05,0.65,-0.21,1.4728516262276083
2150,38,100,0.05,0.56,-0.26,1.4726926572605714
1785,33,110,0.05,0.58,-0.26,1.4726406133882395
693,19,68,0.05,0.61,-0.25,1.4726349460399164
180,12,80,0.05,0.65,-0.19,1.4713722479565792
179,12,79,0.05,0.65,-0.18,1.471083730216149
1933,35,108,0.05,0.58,-0.26,1.470772240006742
37,10,87,0.05,0.67,-0.19,1.4702402043780316
508,16,108,0.05,0.65,-0.19,1.4693079235483508
272,13,97,0.05,0.64,-0.22,1.4690484711712566
3,10,53,0.05,0.64,-0.14,1.468775870072934
1932,35,107,0.05,0.57,-0.26,1.466336594682149
368,14,118,0.05,0.64,-0.22,1.4663135841144466
1982,36,82,0.05,0.57,-0.22,1.4657419279180237
31,10,81,0.05,0.67,-0.17,1.4652734804641647
2077,37,102,0.05,0.56,-0.26,1.4647332110393998
643,18,93,0.05,0.62,-0.21,1.4644268313425697
434,15,109,0.05,0.64,-0.21,1.464220716084909
719,19,94,0.05,0.62,-0.19,1.4640538459049708
1905,35,80,0.05,0.57,-0.23,1.4630883285915925
431,15,106,0.05,0.64,-0.21,1.4630622445604378
432,15,107,0.05,0.64,-0.21,1.4630622445604378
75,11,50,0.05,0.63,-0.13,1.463038673270066
270,13,95,0.05,0.63,-0.22,1.4625430131687234
1907,35,82,0.05,0.57,-0.22,1.4622354451473205
421,15,96,0.05,0.63,-0.22,1.4622003020287477
2055,37,80,0.05,0.57,-0.22,1.4614026921878098
3035,50,86,0.05,0.51,-0.3,1.46129624524853
39,10,89,0.05,0.66,-0.19,1.460747257484035
2223,39,98,0.05,0.55,-0.27,1.4605199108764475
427,15,102,0.05,0.63,-0.23,1.4600752512882629
1983,36,83,0.05,0.56,-0.22,1.4600082405333348
709,19,84,0.05,0.61,-0.19,1.4596281692233493
2053,37,78,0.05,0.56,-0.21,1.459295348048331
1712,32,112,0.05,0.57,-0.26,1.4592626880165578
1621,31,96,0.05,0.57,-0.23,1.4583609690889172
1787,33,112,0.05,0.57,-0.26,1.4580649772238101
1786,33,111,0.05,0.57,-0.26,1.4580649772238101
99,11,74,0.05,0.66,-0.15,1.4569889416242225
193,12,93,0.05,0.64,-0.16,1.4569155830534415
636,18,86,0.05,0.61,-0.18,1.4564586116978777
45,10,95,0.05,0.65,-0.18,1.4557380713553578
1904,35,79,0.05,0.56,-0.21,1.4555830216820123
38,10,88,0.05,0.65,-0.19,1.4555116314305643
1949,35,124,0.05,0.54,-0.3,1.4553412668158732
435,15,110,0.05,0.63,-0.21,1.4548919820594026
120,11,95,0.05,0.64,-0.19,1.454837564671868
1422,28,122,0.05,0.57,-0.26,1.4544261231326778
172,12,72,0.05,0.63,-0.18,1.4541306444209614
509,16,109,0.05,0.63,-0.19,1.4538404091754287
116,11,91,0.05,0.65,-0.16,1.453529168275801
429,15,104,0.05,0.62,-0.2,1.4533359798266343
2056,37,81,0.05,0.56,-0.22,1.4533082439563023
1423,28,123,0.05,0.57,-0.26,1.453293744229228
713,19,88,0.05,0.61,-0.21,1.4528149360921492
743,19,118,0.05,0.6,-0.21,1.4524299991357075
1903,35,78,0.05,0.55,-0.22,1.4514043065174995
441,15,116,0.05,0.63,-0.23,1.451307903530857
182,12,82,0.05,0.63,-0.19,1.4511392917507338
710,19,85,0.05,0.6,-0.18,1.4507553065982448
2963,49,88,0.05,0.51,-0.3,1.4506594222617621
423,15,98,0.05,0.62,-0.22,1.450580968212729
1981,36,81,0.05,0.55,-0.22,1.450076989894033
40,10,90,0.05,0.64,-0.18,1.450068784224438
422,15,97,0.05,0.61,-0.22,1.4499380524138925
425,15,100,0.05,0.61,-0.23,1.4499040772306522
2174,38,124,0.05,0.53,-0.3,1.4497707251452467
41,10,91,0.05,0.64,-0.18,1.4494054558818454
1678,32,78,0.05,0.56,-0.27,1.4493482483714355
641,18,91,0.05,0.61,-0.21,1.4491974141094741
3037,50,88,0.05,0.5,-0.3,1.4489646292885934
956,22,106,0.05,0.58,-0.19,1.4487602388892575
246,13,71,0.05,0.62,-0.2,1.4487565651492171
642,18,92,0.05,0.6,-0.21,1.448104566030057
494,16,94,0.05,0.61,-0.23,1.447616013645688
2306,40,106,0.05,0.51,-0.3,1.4475999477523682
2380,41,105,0.05,0.51,-0.3,1.4475999477523682
430,15,105,0.05,0.62,-0.21,1.4469430292200014
150,12,50,0.05,0.61,-0.13,1.446851782118007
344,14,94,0.05,0.62,-0.23,1.4467174843324653
271,13,96,0.05,0.62,-0.22,1.4466937912670406
195,12,95,0.05,0.63,-0.18,1.44622386767222
173,12,73,0.05,0.62,-0.18,1.445884157232134
440,15,115,0.05,0.62,-0.24,1.445831828430853
250,13,75,0.05,0.62,-0.19,1.4453371281126541
1681,32,81,0.05,0.56,-0.26,1.4452145263766154
374,14,124,0.05,0.62,-0.23,1.4447058250864055
184,12,84,0.05,0.62,-0.19,1.444587781401458
1348,27,123,0.05,0.56,-0.26,1.444586643595064
194,12,94,0.05,0.63,-0.17,1.4445407309031626
247,13,72,0.05,0.61,-0.2,1.4438292988617616
442,15,117,0.05,0.62,-0.24,1.4427511998039897
443,15,118,0.05,0.62,-0.24,1.4427511998039895
2213,39,88,0.05,0.53,-0.26,1.442231842977764
1499,29,124,0.05,0.56,-0.26,1.442194756229916
4,10,54,0.05,0.61,-0.14,1.4421063629599669
1349,27,124,0.05,0.56,-0.26,1.4418325097351097
347,14,97,0.05,0.61,-0.22,1.4417728270204322
348,14,98,0.05,0.61,-0.22,1.4417728270204322
44,10,94,0.05,0.63,-0.18,1.44164740549615
424,15,99,0.05,0.61,-0.22,1.4413500505506414
1753,33,78,0.05,0.55,-0.27,1.4411740538247784
